key,value
2174,0
2595,0
2954,0
4193,0
7053,0
7645,0
8603,0
9961,0
9969,0
10903,0
11015,0
11468,0
13261,0
14452,0
15250,0
15533,0
15845,0
16083,0
16193,0
16569,0
16788,0
19599,0
20017,0
20602,0
21065,0
21631,0
22140,0
22187,0
23318,0
23460,0
23684,0
27408,0
27829,0
28801,0
29895,0
30192,0
31122,0
31502,0
32047,0
33311,0
33892,0
34215,0
34255,0
35574,0
37303,0
37311,0
38438,0
39456,0
39560,0
42229,0
43071,0
45307,0
45367,0
45842,0
46271,0
47366,0
48070,0
49998,0
50042,0
50779,0
51311,0
51321,0
53217,0
59046,0
61089,0
61152,0
62521,0
63547,0
64713,0
65220,0
65479,0
66942,0
67118,0
68378,0
69079,0
69443,0
70670,0
71463,0
72750,0
73424,0
74540,0
76121,0
76159,0
76663,0
77566,0
79693,0
79719,0
79997,0
80455,0
82931,0
83024,0
83373,0
85244,0
86175,0
86931,0
88295,0
90736,0
91750,0
94136,0
94944,0
96886,1
98015,1
99926,1
100007,1
100733,1
100934,1
101305,1
102009,1
102252,1
103904,1
103955,1
104528,1
105345,1
105366,1
105714,1
107193,1
107430,1
108118,1
112078,1
112834,1
113540,1
114570,1
115208,1
115483,1
117022,1
117121,1
117350,1
117681,1
118296,1
120845,1
120993,1
122750,1
124052,1
124296,1
124706,1
125312,1
127077,1
130169,1
130284,1
132020,1
132286,1
133240,1
134353,1
134660,1
135562,1
138023,1
138381,1
139989,1
140411,1
141152,1
141381,1
143090,1
143454,1
144026,1
144921,1
145986,1
146119,1
146672,1
147803,1
148368,1
149181,1
149524,1
151017,1
154314,1
155545,1
156165,1
156804,1
157347,1
158149,1
159392,1
159458,1
160271,1
162719,1
163031,1
163583,1
165663,1
165886,1
166128,1
167143,1
167369,1
168312,1
169052,1
170546,1
171713,1
172322,1
174246,1
175240,1
177969,1
179749,1
181153,1
183525,1
184151,1
189026,1
189157,1
189514,1
192276,1
192358,1
193465,1
197731,1
199321,1
199606,2
200287,2
200769,2
203806,2
204024,2
204218,2
205275,2
205871,2
206514,2
208650,2
211752,2
212684,2
212785,2
214173,2
215772,2
216070,2
217260,2
217407,2
218320,2
219767,2
220808,2
223384,2
225931,2
228197,2
231241,2
231259,2
231596,2
231950,2
232418,2
233027,2
233842,2
234016,2
234703,2
236138,2
236838,2
236996,2
237574,2
238915,2
239996,2
240065,2
240348,2
241058,2
242181,2
242751,2
245590,2
246151,2
246202,2
246663,2
246866,2
248333,2
252096,2
252810,2
254621,2
256148,2
256445,2
258511,2
258598,2
258644,2
259548,2
259729,2
260472,2
261518,2
261869,2
262252,2
262785,2
263399,2
264799,2
265193,2
265926,2
266236,2
267061,2
267122,2
271387,2
271874,2
273911,2
273961,2
276974,2
277041,2
277647,2
279000,2
279201,2
282299,2
282437,2
283742,2
285634,2
288130,2
288523,2
289371,2
289571,2
289737,2
289989,2
290147,2
290727,2
293044,2
293973,2
294433,2
296993,2
298481,2
299708,2
300916,2
303243,3
303802,3
305195,3
305642,3
306404,3
306596,3
308157,3
310098,3
312895,3
313722,3
314100,3
314556,3
317113,3
319132,3
319665,3
319863,3
322052,3
323021,3
323959,3
324166,3
324449,3
325061,3
326001,3
328272,3
329492,3
330346,3
330669,3
331320,3
331398,3
333637,3
334428,3
335640,3
336747,3
337948,3
339597,3
340364,3
340946,3
342094,3
342810,3
342915,3
343745,3
344436,3
345313,3
345947,3
346438,3
346705,3
347447,3
347877,3
348777,3
350199,3
350282,3
350851,3
351867,3
352868,3
353086,3
353603,3
353788,3
353842,3
354892,3
355455,3
356407,3
356576,3
357197,3
357201,3
357721,3
358282,3
362797,3
362807,3
363717,3
363921,3
364937,3
365829,3
365930,3
366109,3
366851,3
367647,3
373867,3
373902,3
374584,3
374886,3
375564,3
378443,3
382035,3
382425,3
382758,3
383434,3
383456,3
386236,3
386427,3
387693,3
388432,3
388485,3
388509,3
389898,3
391891,3
391960,3
393657,3
393697,3
395361,3
396139,3
396569,4
398208,4
398362,4
398561,4
400536,4
400563,4
401651,4
402976,4
404277,4
405518,4
410051,4
410620,4
410746,4
411590,4
413367,4
414415,4
414416,4
415740,4
416129,4
419800,4
421105,4
422559,4
425590,4
427120,4
427877,4
429155,4
431191,4
431624,4
431903,4
432507,4
432971,4
435254,4
436732,4
437559,4
442583,4
443437,4
445116,4
446297,4
446615,4
446686,4
447018,4
448855,4
450868,4
451109,4
452143,4
452836,4
456061,4
456717,4
457181,4
457233,4
457554,4
458751,4
463322,4
463746,4
464510,4
464759,4
466125,4
466780,4
466921,4
467016,4
467873,4
468639,4
469493,4
469992,4
471168,4
471183,4
473104,4
473170,4
475311,4
476766,4
477615,4
477958,4
478950,4
479835,4
481464,4
481588,4
482456,4
484610,4
487342,4
488926,4
490064,4
491265,4
491832,4
492604,4
492880,4
493166,4
495973,4
497640,4
498550,4
499421,4
501350,4
501542,4
502603,4
502636,4
504753,4
505129,4
505133,4
506169,4
507201,4
507760,4
511041,5
511339,5
511755,5
512131,5
513549,5
514228,5
515289,5
516308,5
516638,5
517993,5
519001,5
519122,5
519637,5
519935,5
520194,5
520686,5
522291,5
524785,5
526020,5
528730,5
528842,5
530850,5
533234,5
536378,5
537715,5
541856,5
545425,5
545607,5
550551,5
551550,5
551747,5
552624,5
554144,5
555274,5
561941,5
562370,5
562561,5
567210,5
567380,5
567938,5
570873,5
570948,5
571243,5
572025,5
573546,5
575395,5
576365,5
